episode_seed,success,terminated,truncated,collision,episode_return,episode_length,final_distance,min_distance,final_speed,min_speed,max_stage,reached_exit_stage,reached_goal_stage,final_x,final_y,final_z,goal_x,goal_y,goal_z
20000,False,False,True,False,189.26939491162594,422,0.3992590308189392,0.10210121423006058,0.18853570520877838,0.0,goal,True,True,0.8457216024398804,-0.26019197702407837,0.45260193943977356,0.5872833132743835,0.03686465695500374,0.3864597976207733
20001,False,False,True,False,159.03775725511207,422,0.3625867962837219,0.0961376279592514,0.07087977975606918,0.0,goal,True,True,0.7209389805793762,-0.2829478979110718,0.5751937627792358,0.5329604148864746,0.013717192225158215,0.4850657284259796
20002,False,False,True,False,148.1416168697694,422,0.4244043231010437,0.07399549335241318,0.0387689433991909,0.0,goal,True,True,0.6915786862373352,-0.4352739751338959,0.6036045551300049,0.46755850315093994,-0.07699301093816757,0.5639972686767578
20003,False,False,True,False,159.70243604502005,422,0.2962144613265991,0.10369926691055298,0.06340160965919495,0.0,goal,True,True,0.801855206489563,-0.24531029164791107,0.5580437779426575,0.5695807337760925,-0.06791168451309204,0.5098636150360107
20004,False,False,True,False,136.0049135661066,422,0.4732780456542969,0.10159214586019516,0.10847269743680954,0.0,goal,True,True,0.9029289484024048,-0.2824656665325165,0.7896614074707031,0.5748618245124817,0.054637886583805084,0.7374573945999146
20005,True,True,False,False,51.53520820633323,215,0.09195540100336075,0.09195540100336075,0.1175154447555542,0.0,goal,True,True,0.5395023822784424,0.09398388862609863,0.7301218509674072,0.5882620811462402,0.039969202131032944,0.6739017367362976
20006,True,True,False,False,63.58334939041529,247,0.0497981458902359,0.03733878210186958,0.1310763657093048,0.0,goal,True,True,0.6429631114006042,-0.10693291574716568,0.53033447265625,0.6291648149490356,-0.07461332529783249,0.49505123496055603
20007,True,True,False,False,54.53101757288493,222,0.07516380399465561,0.07516380399465561,0.14696940779685974,0.0,goal,True,True,0.597380518913269,0.025827106088399887,0.7115308046340942,0.6156637072563171,-0.03699859231710434,0.6745408773422241
20008,True,True,False,False,60.61135435847922,213,0.07792934775352478,0.07792934775352478,0.14694111049175262,0.0,goal,True,True,0.5176511406898499,0.05373392626643181,0.6601607799530029,0.5317525863647461,-0.003763069398701191,0.6094830632209778
20009,False,False,True,False,185.71479447503538,422,0.3232671618461609,0.10248241573572159,0.049749985337257385,0.0,goal,True,True,0.6240456700325012,-0.33999714255332947,0.4315452575683594,0.4895402789115906,-0.05449952557682991,0.36153754591941833
20010,True,True,False,False,67.18033985395996,234,0.09693503379821777,0.09693503379821777,0.13365399837493896,0.0,goal,True,True,0.5516316294670105,0.0028494782745838165,0.563973605632782,0.6019672751426697,-0.0723971351981163,0.5293229222297668
20011,True,True,False,False,58.830162723192835,249,0.07041210681200027,0.07041210681200027,0.14426162838935852,0.0,goal,True,True,0.5636098980903625,0.019373228773474693,0.6950281858444214,0.5499585270881653,-0.035286471247673035,0.6527928709983826
20012,False,False,True,False,168.8095100994986,422,0.2676951289176941,0.1259038895368576,0.06733574718236923,0.0,goal,True,True,0.8892365097999573,0.0326601043343544,0.46934008598327637,0.6446837782859802,0.09716472774744034,0.3816257417201996
20013,True,True,False,False,53.04963694315247,188,0.09699834138154984,0.09699834138154984,0.13287919759750366,0.0,goal,True,True,0.4692844748497009,0.009575540199875832,0.6041780710220337,0.5088619589805603,-0.07438493520021439,0.5760189294815063
20014,True,True,False,False,64.97813379614382,225,0.08488062769174576,0.08368236571550369,0.13420052826404572,0.0,goal,True,True,0.6492677927017212,0.038611818104982376,0.5587663650512695,0.603471040725708,0.015926450490951538,0.4909965395927429
20015,False,False,True,False,186.2782951151941,422,0.3105575442314148,0.13660098612308502,0.04339747875928879,0.0,goal,True,True,0.7786621451377869,-0.0668550580739975,0.4793091416358948,0.5059936046600342,0.05131002143025398,0.3891156315803528
20016,True,True,False,False,57.60221734646792,259,0.08719595521688461,0.08719595521688461,0.14397935569286346,0.0,goal,True,True,0.679994523525238,-0.014730558730661869,0.704729437828064,0.6312811970710754,-0.07797315716743469,0.6696506142616272
